"party_name","federal_contribution","riding.name","riding.id","year","total_contributions","total_contributions.over_200","total_contributions.200_or_less","total_contributions.20_or_less","n_contributors","n_contributors.over_200","n_contributors.200_or_less","n_contributors.20_or_less"
"Bloc Québécois",TRUE,NA,NA,"2004",85874558,31873990,54000568,0,8775,735,8040,0
"Bloc Québécois",TRUE,NA,NA,"2005",73472920,27839269,45633651,0,7773,670,7103,0
"Bloc Québécois",TRUE,NA,NA,"2006",52951334,20114442,32836892,0,6027,484,5543,0
"Bloc Québécois",TRUE,NA,NA,"2007",42997148,18234042,24763106,0,4486,424,4062,0
"Bloc Québécois",TRUE,NA,NA,"2008",71308522,29180503,42128018,0,7445,685,6760,0
"Bloc Québécois",TRUE,NA,NA,"2009",62112624,27171065,34941558,0,6052,651,5401,0
"Bloc Québécois",TRUE,NA,NA,"2010",64161272,28800201,35361071,0,5855,681,5174,0
"Bloc Québécois",TRUE,NA,NA,"2011",78949131,37316485,41632646,0,7056,881,6175,0
"Bloc Québécois",TRUE,NA,NA,"2012",43424837,18461287,24963550,0,4292,459,3833,0
"Bloc Québécois",TRUE,NA,NA,"2013",41703049,18199374,23503675,0,4146,446,3700,0
"Bloc Québécois",TRUE,NA,NA,"2014",42377645,16675200,25702445,0,4648,408,4240,0
"Bloc Québécois",TRUE,NA,NA,"2015",8777489,3224500,5552989,0,988,75,913,0
"Bloc Québécois",FALSE,"Abitibi—Témiscamingue",24001,"2004",2013900,1147500,866400,0,156,25,131,0
"Bloc Québécois",FALSE,"Alfred-Pellan",24003,"2004",1481000,874500,606500,0,146,22,124,0
"Bloc Québécois",FALSE,"Argenteuil—Papineau—Mirabel",24004,"2004",1690800,437000,1253800,0,447,10,437,0
"Bloc Québécois",FALSE,"Berthier—Maskinongé",24008,"2004",905000,720500,184500,0,48,18,30,0
"Bloc Québécois",FALSE,"Chambly—Borduas",24012,"2004",920826,549905,351421,19500,125,10,79,36
"Bloc Québécois",FALSE,"Charlesbourg—Haute-Saint-Charles",24013,"2004",3088207,1055829,2032378,0,247,25,222,0
"Bloc Québécois",FALSE,"Montmorency—Charlevoix—Haute-Côte-Nord",24014,"2004",542570,131070,411500,0,212,6,206,0
"Bloc Québécois",FALSE,"Chicoutimi—Le Fjord",24016,"2004",2932200,1650000,1282200,0,180,38,142,0
"Bloc Québécois",FALSE,"Compton—Stanstead",24017,"2004",736500,138000,598500,0,99,5,94,0
"Bloc Québécois",FALSE,"Drummond",24018,"2004",4015000,3424500,80000,510500,569,60,4,505
"Bloc Québécois",FALSE,"Gaspésie—Îles-de-la-Madeleine",24019,"2004",2478000,1672500,805500,0,132,36,96,0
"Bloc Québécois",FALSE,"Gatineau",24020,"2004",781667,670000,111667,0,32,16,16,0
"Bloc Québécois",FALSE,"Hochelaga",24021,"2004",1456800,231500,1225300,0,342,7,335,0
"Bloc Québécois",FALSE,"Hull—Aylmer",24023,"2004",891500,582000,309500,0,36,15,21,0
"Bloc Québécois",FALSE,"Jeanne-Le Ber",24024,"2004",732302,3e+05,428324,3978,90,6,49,35
"Bloc Québécois",FALSE,"Joliette",24025,"2004",2066997,1002709,765288,299000,368,21,132,215
"Bloc Québécois",FALSE,"Jonquière—Alma",24026,"2004",37000,0,37000,0,6,0,6,0
"Bloc Québécois",FALSE,"La Pointe-de-l'Île",24028,"2004",1967000,678000,1288500,500,641,12,579,50
"Bloc Québécois",FALSE,"Laurentides—Labelle",24030,"2004",3365600,2587000,778600,0,169,48,121,0
"Bloc Québécois",FALSE,"Laurier—Sainte-Marie",24031,"2004",1104934,795934,309000,0,74,10,64,0
"Bloc Québécois",FALSE,"Laval",24032,"2004",2253658,1362912,864245,26500,284,17,177,90
"Bloc Québécois",FALSE,"Longueuil—Pierre-Boucher",24035,"2004",475000,415000,60000,0,9,6,3,0
"Bloc Québécois",FALSE,"Lotbinière—Chutes-de-la-Chaudière",24036,"2004",2241500,1695000,546500,0,78,22,56,0
"Bloc Québécois",FALSE,"Louis-Hébert",24037,"2004",183000,0,183000,0,39,0,39,0
"Bloc Québécois",FALSE,"Louis-Saint-Laurent",24038,"2004",965000,634500,330500,0,83,17,66,0
"Bloc Québécois",FALSE,"Manicouagan",24039,"2004",1962900,1065500,897400,0,157,21,136,0
"Bloc Québécois",FALSE,"Haute-Gaspésie—La Mitis—Matane—Matapédia",24041,"2004",997000,592000,405000,0,103,8,95,0
"Bloc Québécois",FALSE,"Mégantic—L'Érable",24042,"2004",1598000,742500,855500,0,135,18,117,0
"Bloc Québécois",FALSE,"Montcalm",24043,"2004",1204000,415000,789000,0,123,11,112,0
"Bloc Québécois",FALSE,"Abitibi—Baie-James—Nunavik—Eeyou",24046,"2004",2030800,1569000,461800,0,120,120,0,0
"Bloc Québécois",FALSE,"Québec",24052,"2004",825400,415000,410400,0,103,9,94,0
"Bloc Québécois",FALSE,"Repentigny",24053,"2004",1824500,1097000,727500,0,114,21,93,0
"Bloc Québécois",FALSE,"Bas-Richelieu—Nicolet—Bécancour",24054,"2004",5230250,2572400,2657850,0,780,49,731,0
"Bloc Québécois",FALSE,"Rimouski-Neigette—Témiscouata—Les Basques",24056,"2004",1684400,646400,1038000,0,181,10,171,0
"Bloc Québécois",FALSE,"Rivière-des-Mille-Îles",24057,"2004",1519752,653342,866410,0,271,15,256,0
"Bloc Québécois",FALSE,"Montmagny—L'Islet—Kamouraska—Rivière-du-Loup",24058,"2004",2271220,1372620,791100,107500,185,25,82,78
"Bloc Québécois",FALSE,"Rivière-du-Nord",24059,"2004",754500,303000,451500,0,55,8,47,0
"Bloc Québécois",FALSE,"Roberval—Lac-Saint-Jean",24060,"2004",943200,360000,583200,0,77,10,67,0
"Bloc Québécois",FALSE,"Rosemont—La Petite-Patrie",24061,"2004",1871250,385500,1485700,0,335,335,0,0
"Bloc Québécois",FALSE,"Saint-Bruno—Saint-Hubert",24062,"2004",3138912,463212,0,0,248,248,0,0
"Bloc Québécois",FALSE,"Saint-Hyacinthe—Bagot",24063,"2004",1838075,1199500,638576,0,112,30,82,0
"Bloc Québécois",FALSE,"Saint-Jean",24064,"2004",1155700,964500,191200,0,38,14,24,0
"Bloc Québécois",FALSE,"Saint-Maurice—Champlain",24068,"2004",2144105,1544515,504050,95540,173,29,86,58
"Bloc Québécois",FALSE,"Sherbrooke",24070,"2004",3159500,1859500,1300000,0,198,41,157,0
"Bloc Québécois",FALSE,"Terrebonne—Blainville",24071,"2004",1413000,543000,870000,0,171,16,155,0
"Bloc Québécois",FALSE,"Trois-Rivières",24072,"2004",1779400,346900,1432500,0,199,9,190,0
