Bloc Québécois,62112624,27171065,34941558,0,"6,052","5,401",0
Association Bloc Québécois Louis-Saint-Laurent,582000,310000,272000,0,59,51,0
Association de circonscription du Bloc Québécois de Gatineau,2069000,1239000,830000,0,104,72,0
Association de circonscription du Bloc Québécois de Québec,598000,299500,298500,0,78,72,0
Association de circonscription du Bloc Québécois Montcalm,3839000,2036000,1803000,0,238,181,0
Association du Bloc Québécois d'Abitibi--Baie-James--Nunavik--Eeyou,1543000,1160000,383000,0,75,55,0
Association du Bloc Québécois d'Argenteuil--Papineau--Mirabel,1662100,684900,977200,0,441,427,0
Association du Bloc Québécois de Chambly--Borduas,2347500,1141000,1206500,0,176,148,0
Association du Bloc Québécois de Charlesbourg--Haute-Saint-Charles,975700,244000,731700,0,355,347,0
Association du Bloc Québécois de Châteauguay--Saint-Constant,2479000,1160400,1318600,0,165,129,0
Association du Bloc Québécois de Haute-Gaspésie--La Mitis--Matane--Matapédia,590000,400000,190000,0,54,46,0
Association du Bloc Québécois de Hull--Aylmer,846000,422000,424000,0,47,38,0
Association du Bloc Québécois de Jeanne-Le Ber,704500,600500,104000,0,23,9,0
Association du Bloc Québécois de la circonscription de Trois-Rivières,1548500,167500,1381000,0,162,156,0
Association du Bloc Québécois de Laurier--Sainte-Marie,1890400,776500,1113900,0,137,119,0
Association du Bloc Québécois de Montmorency--Charlevoix--Haute-Côte-Nord,1526250,486300,1039950,0,182,168,0
Association du Bloc Québécois de Rosemont--La Petite-Patrie,539200,309000,230200,0,0,0,0
Association du Bloc Québécois de Shefford,1751000,1520000,231000,0,87,49,0
Association du Bloc Québécois Laurentides--Labelle,1209000,529000,680000,0,121,112,0
Association du Bloc Québécois Verchères--Les Patriotes,1278000,564500,713500,0,154,141,0
Bloc Québécois Abitibi--Témiscamingue,4161700,3336800,824900,0,207,131,0
Bloc Québécois Alfred-Pellan,1166700,300700,866000,0,130,122,0
Bloc Québécois Beauharnois--Salaberry,1856041,957000,883700,15341,192,127,40
Bloc Québécois Berthier--Maskinongé,1595500,724000,871500,0,108,90,0
Bloc Québécois Chicoutimi--Le Fjord,2404500,1307500,1097000,0,134,100,0
Bloc Québécois Compton--Stanstead,1442000,859000,583000,0,108,86,0
Bloc Québécois de Bas-Richelieu--Nicolet--Bécancour,3874700,2317500,1557200,0,393,339,0
Bloc Québécois de Brome--Missisquoi,1938100,904600,1033500,0,169,144,0
Bloc Québécois de Gaspésie--Îles-de-la-Madeleine,1532000,1460000,72000,0,26,12,0
Bloc Québécois de Joliette,1406400,1128600,277800,0,128,100,0
Bloc Québécois de Laval,1380800,778500,602300,0,109,88,0
Bloc Québécois de Laval--Les Îles,491500,265500,226000,0,30,22,0
Bloc Québécois de Lévis--Bellechasse,0,0,0,0,0,0,0
Bloc Québécois de Longueuil--Pierre-Boucher,1093700,510200,583500,0,139,126,0
Bloc Québécois de Louis-Hébert,274200,242000,32200,0,19,14,0
Bloc Québécois de Manicouagan,1436000,1148000,288000,0,65,50,0
Bloc Québécois de Marc-Aurèle-Fortin,2470500,2208000,262500,0,89,55,0
Bloc Québécois de Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,483500,430000,53500,0,18,7,0
Bloc Québécois de Repentigny,1162873,432000,718000,12872,166,104,52
Bloc Québécois de Rivière-du-Nord,1545600,827300,718300,0,124,103,0
Bloc Québécois de Saint-Bruno--Saint-Hubert,1520000,762000,758000,0,105,90,0
Bloc Québécois de Saint-Hyacinthe--Bagot,1790000,1460500,329500,0,181,138,0
Bloc Québécois de Saint-Jean,1499500,564000,935500,0,109,96,0
Bloc Québécois de Terrebonne--Blainville,3067500,1597500,1470000,0,327,298,0
Bloc Québécois Drummond,1150500,1040000,110500,0,37,16,0
Bloc Québécois Hochelaga,925000,600000,325000,0,68,55,0
Bloc Québécois Jonquière--Alma,0,0,0,0,0,0,0
Bloc Québécois La Pointe-de-l'Île,373500,246500,127000,0,37,32,0
Bloc Québécois Mégantic--L'Érable,1540500,968500,572000,0,636,612,0
Bloc Québécois Richmond--Arthabaska,1908000,952500,955500,0,135,103,0
Bloc Québécois Rimouski-Neigette--Témiscouata--Les Basques,1568000,626000,788000,154000,217,127,77
Bloc Québécois Rivière des Mille-Îles,939000,806000,133000,0,37,21,0
Bloc Québécois Roberval--Lac-Saint-Jean,691700,540000,151700,0,43,29,0
Bloc Québécois Saint-Maurice--Champlain,1382000,540500,841500,0,91,77,0
Bloc Québécois Sherbrooke,1395000,440500,954500,0,126,117,0
Bloc Québécois Vaudreuil-Soulanges,220200,36000,145000,39200,62,13,48
L'Association du Bloc Québécois d'Ahuntsic,990000,320000,670000,0,51,45,0
L'Association du Bloc Québécois de Saint-Lambert,154500,65000,89500,0,23,21,0
