Conservative Party of Canada,2117948272,1268541249,849407023,0,"112,184","86,149",0
Abbotsford Conservative Association,5554400,4224000,1329400,1000,220,151,1
Abitibi--Baie-James--Nunavik--Eeyou Conservative Association,1786000,1650000,135000,1000,78,11,1
Acadie--Bathurst Conservative Association,1114900,80000,87900,0,32,8,0
Ajax--Pickering Conservative Association,2489022,2101000,356000,32022,139,35,66
Algoma--Manitoulin--Kapuskasing Conservative Association,284000,132500,151500,0,31,28,0
Ancaster--Dundas--Flamborough--Westdale Conservative Association,4357000,3101000,1256000,0,177,119,0
Association du Parti conservateur Abitibi--Témiscamingue,27000,27000,0,0,2,0,0
Association du Parti conservateur Ahuntsic,3335753,2935753,400000,0,91,28,0
Association du Parti conservateur Argenteuil--Papineau--Mirabel,626000,610000,15000,1000,12,1,1
Association du Parti conservateur Berthier--Maskinongé,1334500,535000,799500,0,52,44,0
Association du Parti conservateur Bourassa,1039000,1019000,20000,0,13,2,0
Association du Parti conservateur Brossard--La Prairie,1080096,702244,377852,0,48,33,0
Association du Parti conservateur Châteauguay--Saint-Constant,0,0,0,0,0,0,0
Association du Parti conservateur de Bas-Richelieu--Nicolet--Bécancour,0,0,0,0,0,0,0
Association du Parti conservateur de Beauce,5684500,3878000,1806500,0,240,168,0
Association du Parti conservateur de la Haute-Gaspésie--La Mitis--Matane--Matapédia,227000,180000,47000,0,6,3,0
Association du Parti conservateur Drummond,3812000,2552500,1060000,199500,245,86,125
Association du Parti conservateur Gaspésie--Îles-de-la-Madeleine,1710500,1170000,539500,1000,67,45,1
Association du Parti conservateur Hull--Aylmer,957527,636559,320968,0,52,41,0
Association du Parti conservateur Joliette,293000,200000,88000,5000,14,8,3
Association du Parti conservateur Jonquière--Alma,5924600,5811050,113550,0,100,11,0
Association du Parti conservateur LaSalle--Émard,100000,100000,0,0,1,0,0
Association du Parti conservateur Laurentides--Labelle,139500,115000,16000,8500,11,2,6
Association du Parti conservateur Laurier--Sainte-Marie,3994100,3825100,169000,0,56,15,0
Association du Parti conservateur Laval,2609249,2609249,0,0,61,0,0
Association du Parti conservateur Lévis--Bellechasse,238000,160000,0,78000,89,0,86
Association du Parti conservateur Louis-Saint-Laurent,320000,300000,20000,0,4,1,0
Association du Parti conservateur Mégantic--L'Érable,2083400,798400,1285000,0,154,137,0
Association du Parti conservateur Montcalm,378170,278170,100000,0,14,5,0
Association du Parti conservateur Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,385019,208486,176533,0,34,28,0
Association du Parti conservateur Notre-Dame-de-Grâce--Lachine,0,0,0,0,0,0,0
Association du Parti conservateur Portneuf--Jacques-Cartier,3295000,1925000,1370000,0,106,69,0
Association du Parti conservateur Rimouski-Neigette--Témiscouata--Les Basques,0,0,0,0,0,0,0
Association du Parti conservateur Roberval--Lac-Saint-Jean,0,0,0,0,0,0,0
Association du Parti conservateur Terrebonne--Blainville,1223500,897500,251000,75000,87,16,55
Association du Parti conservateur Verchères--Les Patriotes,97000,95000,2000,0,3,1,0
Avalon Conservative Association,4434000,3265000,1169000,0,124,65,0
Barrie Conservative EDA,4554850,3905850,649000,0,120,67,0
Battlefords--Lloydminster Conservative Association,1586500,833500,753000,0,90,74,0
Beaches--East York Conservative Association,825020,491900,333100,21,42,32,1
Beauharnois--Salaberry Conservative Association,1179000,1099000,80000,0,26,5,0
Beauport--Limoilou Conservative Association,939000,358500,580500,0,45,38,0
Beauséjour Conservative Association,851500,591500,260000,0,47,34,0
Blackstrap Conservative Association,260500,165000,95500,0,13,9,0
Bonavista--Gander--Grand Falls--Windsor Conservative Association,100000,100000,0,0,1,0,0
Bramalea--Gore--Malton Conservative Association,3455037,3257038,198000,0,89,16,0
Brampton West Conservative Association,1256106,1066106,190000,0,33,15,0
Brampton--Springdale Conservative Association,1182500,907500,275000,0,55,32,0
Brandon--Souris Conservative Association,1273400,125000,1148400,0,134,130,0
Brant Conservative Association,1784000,1640000,144000,0,31,11,0
British Columbia Southern Interior Conservative Association,3489700,1820700,1669000,0,208,173,0
Brome--Missisquoi Conservative Association,3086000,3001000,85000,0,66,6,0
Bruce--Grey--Owen Sound Conservative Association,2399000,420000,1979000,0,196,189,0
Burlington Conservative Association,1092175,406575,685600,0,68,57,0
Burnaby--Douglas Conservative Association,445000,340000,105000,0,10,6,0
Burnaby--New Westminster Conservative Association,4553988,4335243,218744,0,76,25,0
Calgary Centre Conservative Association,7415775,5329775,2086000,0,288,200,0
Calgary Centre-North Conservative Association,19634000,15712000,3922000,0,484,285,0
Calgary East Conservative Electoral District Association,511500,180000,331500,0,50,46,0
Calgary Northeast Conservative Association,0,0,0,0,0,0,0
Calgary Southeast Conservative Association,3691354,1430354,2134000,127000,344,250,65
Calgary Southwest Conservative Association,5539027,2871150,2667877,0,376,307,0
Calgary West Conservative Association,530000,127500,402500,0,53,51,0
Calgary--Nose Hill Conservative Association,3178633,1216133,1962500,0,234,214,0
Cambridge Conservative Association,1689000,942500,694000,52500,146,68,55
Cape Breton--Canso Conservative Association,928850,710250,218600,0,34,23,0
Cardigan Conservative Association,676000,210000,466000,0,53,49,0
Cariboo--Prince George Conservative Association,921001,473514,445985,1500,61,43,1
Central Nova Conservative Association,5432500,3274000,2158500,0,250,157,0
Chambly--Borduas Conservative Association,392500,382500,10000,0,8,1,0
Charlesbourg--Haute-Saint-Charles Conservative Association,0,0,0,0,0,0,0
Charleswood--St. James--Assiniboia Conservative Association,5354098,2091400,3212400,50298,425,336,36
Charlottetown Conservative Association,180000,155000,25000,0,6,3,0
Chatham-Kent--Essex Conservative Association,653196,202500,438460,12236,149,51,92
Chicoutimi--Le Fjord Conservative Association,775000,735000,40000,0,18,3,0
Chilliwack--Fraser Canyon Conservative Association,1084886,1054500,5000,25386,97,3,30
Churchill Conservative Association,0,0,0,0,0,0,0
Compton--Stanstead Conservative Association,314500,235000,79500,0,16,9,0
Conservative Party of Canada Carleton--Mississippi Mills,1450000,388000,1062000,0,128,119,0
Conservative Party of Canada Edmonton East Electoral District Association,1268240,624000,643000,1240,92,67,15
Conservative Party of Canada Electoral District Association Ottawa--Orléans,988500,505500,483000,0,57,45,0
Conservative Party of Canada Fredericton Electoral District Association,3267500,2945000,322500,0,87,30,0
Conservative Party of Canada Lac-Saint-Louis Electoral District Association,354680,330000,11500,13180,33,2,26
Conservative Party of Canada Langley Electoral District Association,1951665,1580520,340500,30645,"9,184",39,"9,102"
Conservative Party of Canada Peterborough Electoral District Association,5822937,5247777,459160,116000,250,44,125
Conservative Party of Canada Vancouver South EDA,2627173,1897949,729224,0,107,70,0
Crowfoot Conservative Association,1348500,645000,703500,0,88,73,0
Cumberland--Colchester--Musquodoboit Valley Conservative Association,0,0,0,0,0,0,0
Cypress Hills--Grasslands Conservative Association,215000,55000,160000,0,20,18,0
Dartmouth--Cole Harbour Conservative Association,269000,60000,209000,0,30,29,0
Dauphin--Swan River--Marquette Conservative Association,78000,25000,53000,0,6,5,0
Davenport Conservative Association,30000,30000,0,0,1,0,0
Delta--Richmond East Conservative Association,897339,502500,374839,20000,105,47,49
Desnethé--Missinippi--Churchill River Conservative Association,883000,535000,306000,42000,72,29,30
Don Valley East Conservative Association,1134283,699083,435200,0,57,41,0
Don Valley West Conservative Association,13440000,10880500,2559500,0,432,236,0
Dufferin--Caledon Conservative Association,1619500,867500,752000,0,105,89,0
Durham Conservative Association,1399500,440000,959500,0,123,112,0
Edmonton Centre Conservative Association,11514100,4930600,6583500,0,665,553,0
Edmonton--Leduc Conservative Association,2672442,2261942,393500,17000,95,28,22
Edmonton--Mill Woods--Beaumont Conservative Association,4947000,3602500,1344500,0,194,132,0
Edmonton--Sherwood Park Conservative Association,1074250,50000,1024250,0,0,92,0
Edmonton--Spruce Grove Conservative Association,5089000,4605000,484000,0,162,57,0
Edmonton--St. Albert Conservative Association,202400,161400,41000,0,9,5,0
Edmonton--Strathcona Conservative Association,3935400,2090000,1843400,2000,214,170,1
Eglinton--Lawrence Conservative Association,7355500,6355000,1000500,0,160,68,0
Egmont Conservative Association,3340200,3103200,237000,0,74,22,0
Elgin--Middlesex--London Conservative Association,2890100,1442500,1447600,0,187,153,0
Elmwood--Transcona Conservative Association,233300,110000,123300,0,22,19,0
Esquimalt--Juan de Fuca Conservative Association,4200659,2762659,1438000,0,191,144,0
Essex Conservative Association,3110500,1359500,1751000,0,216,186,0
Etobicoke Centre Conservative Association,5768000,2768000,3000000,0,276,220,0
Etobicoke North Conservative Association,2117167,2117167,0,0,22,0,0
Etobicoke--Lakeshore Conservative Association,3188338,2250050,938287,0,153,117,0
Fleetwood--Port Kells Conservative Association,467284,357800,109483,0,20,14,0
Fort McMurray--Athabasca Conservative Association,563100,550000,13100,0,8,3,0
Fundy Royal Conservative Association,0,0,0,0,0,0,0
Gatineau Conservative Association,187500,160000,27500,0,7,3,0
Glengarry--Prescott--Russell Conservative Association,8905428,5121500,3783928,0,465,349,0
Guelph Conservative Association,2469178,893678,1565500,10000,271,239,10
Haldimand--Norfolk Conservative Association,1263600,875100,388500,0,53,34,0
Haliburton--Kawartha Lakes--Brock Conservative Association,1640900,582200,1058700,0,129,114,0
Halifax Conservative Association,1503500,962000,530500,11000,95,46,30
Halifax West Conservative Association,282500,93000,189500,0,19,16,0
Halton Conservative Association,1379740,877042,502697,0,71,55,0
Hamilton Centre Conservative Association,727500,215000,491000,21500,99,68,25
Hamilton East--Stoney Creek Conservative Association,745809,463309,282500,0,47,37,0
Hamilton Mountain Conservative Association,1846165,666000,1169000,11165,135,96,20
Hochelaga Conservative Association,0,0,0,0,0,0,0
Honoré-Mercier Conservative Association,656200,508700,147500,0,20,11,0
Humber--St. Barbe--Baie Verte Conservative Association,0,50000,0,0,0,0,0
Huron--Bruce Conservative Association,225000,100000,125000,0,11,10,0
Jeanne-Le Ber Conservative Party Riding Association,589412,548412,41000,0,11,4,0
Kamloops--Thompson--Cariboo Conservative Association,779500,260000,519500,0,58,51,0
Kelowna--Lake Country Conservative Association,3397000,1427500,1969500,0,226,194,0
Kenora Conservative Association,4591854,2857041,1734813,0,266,202,0
Kildonan--St. Paul Conservative Association,2762300,1442500,1300000,19800,213,153,31
Kings--Hants Conservative Association,257000,90000,167000,0,19,17,0
Kingston and the Islands Conservative Association,1870500,855000,1013500,2000,129,109,1
