New Democratic Party,397276257,228495318,168432991,0,"25,135","19,111",0
Abbotsford Federal NDP Riding Association,310570,21400,273484,15686,96,28,67
Acadie--Bathurst Federal NDP Riding Association,95000,0,0,0,6,0,0
Ahuntsic Federal NDP Riding Association,8500,0,8500,0,2,2,0
Ajax--Pickering Federal NDP Riding Association,7500,0,7500,0,1,1,0
Alfred-Pellan Federal NDP Riding Association,45000,39000,6000,0,3,2,0
Algoma--Manitoulin--Kapuskasing Federal NDP Riding Association,956500,485000,471500,0,53,43,0
Ancaster--Dundas--Flamborough--Westdale Federal NDP Riding Association,120000,100000,20000,0,3,2,0
Association de circonscription NPD de Bas-Richelieu--Nicolet--Bécancour,12000,0,12000,0,10,10,0
Association de circonscription NPD de Beauport--Limoilou,40100,23500,16600,0,3,2,0
Association de circonscription NPD de Berthier--Maskinongé,2500,0,2500,0,2,2,0
Association de circonscription NPD de Brome--Missisquoi,0,0,0,0,0,0,0
Association de circonscription NPD de Charlesbourg--Haute-Saint-Charles,5500,0,5500,0,2,2,0
Association de circonscription NPD de Châteauguay--Saint-Constant,63000,60000,3000,0,4,2,0
Association de circonscription NPD de Drummond,0,0,0,0,0,0,0
Association de circonscription NPD de Honoré--Mercier,15500,0,15500,0,2,2,0
Association de circonscription NPD de Mont-Royal,69000,27500,41500,0,11,10,0
Association de circonscription NPD de Repentigny,170500,79000,91500,0,14,12,0
Association de circonscription NPD de Roberval--Lac-Saint-Jean,17000,0,17000,0,1,1,0
Association NPD de l'Abitibi--Témiscamingue,0,0,0,0,0,0,0
Association NPD de Shefford,0,0,0,0,0,0,0
Association NPD de Trois-Rivières,10500,0,10500,0,2,2,0
Association NPD Louis-Saint-Laurent,0,0,0,0,0,0,0
Association NPD pour la circonscription de Beauharnois--Salaberry,500,0,500,0,1,1,0
Association NPD pour la circonscription de Bourassa,1000,0,1000,0,1,1,0
Association NPD pour la circonscription de Mégantic--L'Érable,0,0,0,0,0,0,0
Association NPD pour la circonscription de Verchères--Les Patriotes,6000,0,6000,0,2,2,0
Association NPD Rivière-du-Nord,0,0,0,0,0,0,0
Association NPD Saint-Maurice--Champlain,1500,0,1500,0,1,1,0
Association NPD Terrebonne--Blainville,23500,23500,0,0,1,0,0
Avalon Federal NDP Riding Association,2325,0,0,2325,1,0,1
Barrie--Innisfill Federal NDP Riding Association,156500,42000,114500,0,29,28,0
Battlefords--Lloydminster Federal NDP Riding Association,992900,492500,500400,0,58,49,0
Beaches--East York Federal NDP Riding Association,1072500,620000,452500,0,38,34,0
Beauce Federal NDP Riding Association,0,0,0,0,0,0,0
Beauséjour Federal NDP Riding Association,300000,260000,40000,0,8,3,0
Blackstrap Federal NDP Riding Association,12500,0,12500,0,2,2,0
Bonavista--Exploits Federal NDP Riding Association,0,0,0,0,0,0,0
Bramalea--Gore--Malton Federal NDP Riding Association,0,0,0,0,0,0,0
Brampton West Federal NDP Riding Association,123000,0,0,123000,90,0,90
Brampton--Springdale Federal NDP Riding Association,10000,0,10000,0,1,1,0
Brandon--Souris Federal NDP Riding Association,103000,25000,78000,0,9,8,0
Brant Federal NDP Riding Association,172000,144000,28000,0,6,4,0
Brossard--La Prairie NDP Riding Association,5000,0,5000,0,1,1,0
Bruce--Grey--Owen Sound Federal NDP Riding Association,0,0,0,0,0,0,0
Burlington Federal NDP Riding Association,193856,124413,45943,23500,20,5,12
Burnaby--Douglas Federal NDP Riding Association,1278100,771000,507100,0,76,59,0
Burnaby--New Westminster Federal NDP Riding Association,1696300,771200,900000,25100,177,107,52
Calgary Centre Federal NDP Riding Association,101492,70992,30500,0,6,4,0
Calgary Centre-North Federal NDP Riding Association,333500,220000,102000,11500,99,13,80
Calgary East Federal NDP Riding Association,0,0,0,0,0,0,0
Calgary Northeast Federal NDP Riding Association,0,0,0,0,0,0,0
Calgary Southeast Federal NDP Riding Association,50000,30000,20000,0,2,1,0
Calgary Southwest Federal NDP Riding Association,10000,0,10000,0,2,2,0
Calgary West Federal NDP Riding Association,90000,90000,0,0,2,0,0
Calgary--Nose Hill Federal NDP Riding Association,10000,0,10000,0,1,1,0
Cambridge Federal NDP Riding Association,124577,80000,44577,0,6,4,0
Cape Breton--Canso Federal NDP Riding Association,234792,16824,234792,0,0,0,0
Cardigan Federal NDP Riding Association,55000,0,55000,0,3,3,0
Cariboo--Prince George Federal NDP Riding Association,364500,140000,224500,0,30,26,0
Carleton--Mississippi Mills Federal NDP Riding Association,338850,137000,201850,0,31,26,0
Central Nova Federal NDP Riding Association,13000,0,13000,0,2,2,0
Chambly-Borduas Federal NDP Riding Association,29000,22000,7000,0,3,2,0
Charleswood--St. James--Assiniboia Federal NDP Riding Association,25000,0,25000,0,2,2,0
Charlottetown Federal NDP Riding Association,731500,661000,70500,0,12,6,0
Chatham-Kent--Essex Federal NDP Riding Association,0,0,0,0,0,0,0
Chicoutimi--Le Fjord Federal NDP Riding Association,22000,0,22000,0,2,2,0
Chilliwack--Fraser Canyon Federal NDP Riding Association,458910,0,0,0,0,0,0
Churchill Federal NDP Riding Association,1108000,487000,621000,0,105,93,0
Compton--Stanstead Federal NDP Riding Association,28000,23000,5000,0,4,3,0
Crowfoot Federal NDP Riding Association,87500,80000,7500,0,4,2,0
Cumberland--Colchester--Musquodoboit Valley Federal NDP Riding Association,6000,6000,0,0,1,0,0
Cypress Hills--Grasslands Federal NDP Riding Association,0,0,0,0,0,0,0
Dartmouth--Cole Harbour Federal NDP Riding Association,118647,24147,11250,72000,147,2,144
Dauphin--Swan River--Marquette Federal NDP Riding Association,351500,195000,156500,0,18,13,0
Davenport Federal NDP Riding Association,1260500,516000,744500,0,78,67,0
Delta--Richmond East Federal NDP Riding Association,75000,0,75000,0,44,44,0
Desnethé--Missinippi--Churchill River NDP Riding Association,64500,0,64500,0,6,6,0
Don Valley East Federal NDP Riding Association,107500,50000,57500,0,7,6,0
Don Valley West Federal NDP Riding Association,0,0,0,0,0,0,0
Dufferin--Caledon Federal NDP Riding Association,0,0,0,0,0,0,0
Durham Federal NDP Riding Association,130000,130000,0,0,2,0,0
Edmonton Centre Federal NDP Riding Association,948000,622000,326000,0,42,34,0
Edmonton East Federal NDP Riding Association,485500,70000,412500,3000,46,42,2
Edmonton--Leduc Federal NDP Riding Association,43300,0,43000,300,42,4,38
Edmonton--Mill Woods--Beaumont Federal NDP Riding Association,458000,405000,53000,0,8,5,0
Edmonton--Sherwood Park NDP Electoral District Association,0,0,0,0,2,0,0
Edmonton--Spruce Grove Federal NDP Riding Association,271500,271500,0,0,11,0,0
Edmonton--St. Albert Federal NDP Riding Association,125000,80000,15000,30000,18,1,15
Edmonton--Strathcona Federal NDP Riding Association,769000,400000,355500,13500,251,40,200
Eglinton--Lawrence Federal NDP Riding Association,0,0,0,0,0,0,0
Egmont NDP Riding Association,0,0,0,0,0,0,0
Elgin--Middlesex--London Federal NDP Riding Association,0,0,0,0,0,0,0
Elmwood--Transcona Federal NDP Riding Association,348000,170000,178000,0,21,18,0
Esquimalt--Juan de Fuca Federal NDP Riding Association,0,376032,179533,390,0,0,0
Essex Federal NDP Riding Association,1919850,1243350,676500,0,95,78,0
Etobicoke Centre Federal NDP Riding Association,0,0,0,0,0,0,0
Etobicoke North Federal NDP Riding Association,0,0,0,0,0,0,0
Etobicoke--Lakeshore Federal NDP Riding Association,774700,455000,307500,12200,50,29,8
Fleetwood--Port Kells Federal NDP Riding Association,236900,109900,105500,21500,38,11,24
Fort McMurray--Athabasca Federal NDP Riding Association,0,0,0,0,0,0,0
Fredericton Federal NDP Electoral District Association,268460,155000,0,113400,418,0,417
Fundy Royal NDP Riding Association,229740,224740,5000,0,6,1,0
Gaspésie--Îles-de-la-Madeleine Federal NDP Riding Association,0,0,0,0,0,0,0
Gatineau Federal NDP Riding Association,20000,0,20000,0,2,2,0
Glengarry--Prescott--Russell New Democratic Party Association,0,0,0,0,0,0,0
Guelph New Democratic Party Federal Riding Association,52500,25000,27500,0,4,3,0
Haldimand--Norfolk Federal NDP Riding Association,100000,100000,0,0,2,0,0
Haliburton--Kawartha Lakes--Brock Federal NDP Riding Association,1039000,745000,294000,0,45,34,0
Halifax Federal NDP Riding Association,1230600,726200,504400,0,74,61,0
Halifax West Federal NDP Riding Association,85000,80000,5000,0,2,1,0
Halton Federal NDP Riding Association,0,0,0,0,0,0,0
Hamilton Centre Federal NDP Riding Association,2014500,789700,1224800,0,143,126,0
Hamilton East--Stoney Creek Federal NDP Riding Association,399200,147500,234000,17700,64,22,38
Hamilton Mountain Federal NDP Riding Association,770000,531000,239000,0,34,23,0
Haute-Gaspésie--La Mitis--Matane--Matapédia Federal NDP Riding Association,0,0,0,0,0,0,0
Hochelaga Federal NDP Riding Association,52700,27500,25200,0,7,6,0
Hull--Aylmer Federal NDP Riding Association,151000,40000,111000,0,17,16,0
Humber--St. Barbe--Baie Verte Federal NDP Riding Association,4437,0,0,4437,6,0,6
Huron--Bruce Federal NDP Riding Association,378487,254757,123730,0,16,10,0
Joliette Federal NDP Riding Association,2000,0,2000,0,1,1,0
Jonquière--Alma Federal NDP Riding Association,37500,0,37500,0,2,2,0
Kamloops--Thompson--Cariboo Federal NDP Riding Association,781574,437847,343727,0,65,57,0
Kelowna--Lake Country Federal NDP Riding Association,368000,200000,168000,0,18,15,0
Kenora Federal NDP Riding Association,565100,225000,340100,0,70,64,0
Kildonan--St. Paul Federal NDP Riding Association,407500,357500,50000,0,9,5,0
Kings--Hants Federal NDP Riding Association,117000,117000,117000,117000,9,9,9
Kingston and the Islands NDP Federal Riding Association,0,0,0,0,0,0,0
Kitchener Centre Federal NDP Riding Association,522900,326500,196400,0,26,17,0
Kitchener--Conestoga Federal NDP Riding Association,132000,74000,58000,0,6,4,0
Kitchener--Waterloo Federal NDP Riding Association,308500,168500,140000,0,18,13,0
Kootenay--Columbia Federal NDP Riding Association,5265,0,0,5265,380,0,380
Labrador Federal NDP Riding Association,0,0,0,0,0,0,0
Lac-Saint-Louis Federal NDP Riding Association,211900,80000,84500,47400,43,16,25
Lambton--Kent--Middlesex Federal NDP Riding Association,80000,80000,0,0,2,0,0
Lanark--Frontenac--Lennox and Addington Federal NDP Riding Association,170380,100000,70380,0,10,7,0
Langley Federal NDP Riding Association,403000,95000,308000,0,42,39,0
